Age,M,F
0-4,19031697,18088513
5-9,21253683,20285279
10-14,25030160,23989639
15-19,25856617,24907946
20-24,25607919,24972636
25-29,26154846,25705469
30-34,26745428,26402827
35-39,27932412,27976859
40-44,27312731,27863957
45-49,25206661,26271402
50-54,22453349,23778074
55-59,17391566,19091351
60-64,18505248,21939754
65-69,14754683,18689503
70-74,12335596,18216527
75-79,7716264,14145952
80-84,3451687,7428894
85-89,2003331,5380388
90-94,586665,1978710
95-99,86748,392268
100+,6471,38752
